Generation 0: Dominant count = 53, Heterozygous count = 27, Recessive count = 20
Generation 1: Dominant count = 45, Heterozygous count = 36, Recessive count = 19
Generation 2: Dominant count = 43, Heterozygous count = 39, Recessive count = 18
Generation 3: Dominant count = 40, Heterozygous count = 32, Recessive count = 28
Generation 4: Dominant count = 40, Heterozygous count = 39, Recessive count = 21
Generation 5: Dominant count = 47, Heterozygous count = 28, Recessive count = 25
Generation 6: Dominant count = 43, Heterozygous count = 38, Recessive count = 19
Generation 7: Dominant count = 42, Heterozygous count = 29, Recessive count = 29
Generation 8: Dominant count = 48, Heterozygous count = 27, Recessive count = 25
Generation 9: Dominant count = 41, Heterozygous count = 44, Recessive count = 15
Generation 10: Dominant count = 39, Heterozygous count = 31, Recessive count = 30
Generation 11: Dominant count = 40, Heterozygous count = 35, Recessive count = 25
Generation 12: Dominant count = 36, Heterozygous count = 40, Recessive count = 24
Generation 13: Dominant count = 38, Heterozygous count = 44, Recessive count = 18
Generation 14: Dominant count = 30, Heterozygous count = 49, Recessive count = 21
Generation 15: Dominant count = 31, Heterozygous count = 44, Recessive count = 25
Generation 16: Dominant count = 32, Heterozygous count = 42, Recessive count = 26
Generation 17: Dominant count = 28, Heterozygous count = 49, Recessive count = 23
Generation 18: Dominant count = 29, Heterozygous count = 47, Recessive count = 24
Generation 19: Dominant count = 37, Heterozygous count = 40, Recessive count = 23
Generation 20: Dominant count = 30, Heterozygous count = 40, Recessive count = 30
Generation 21: Dominant count = 24, Heterozygous count = 40, Recessive count = 36
Generation 22: Dominant count = 24, Heterozygous count = 42, Recessive count = 34
Generation 23: Dominant count = 31, Heterozygous count = 36, Recessive count = 33
Generation 24: Dominant count = 28, Heterozygous count = 42, Recessive count = 30
Generation 25: Dominant count = 36, Heterozygous count = 37, Recessive count = 27
Generation 26: Dominant count = 32, Heterozygous count = 43, Recessive count = 25
Generation 27: Dominant count = 42, Heterozygous count = 34, Recessive count = 24
Generation 28: Dominant count = 32, Heterozygous count = 41, Recessive count = 27
Generation 29: Dominant count = 37, Heterozygous count = 36, Recessive count = 27
Generation 30: Dominant count = 34, Heterozygous count = 46, Recessive count = 20
Generation 31: Dominant count = 37, Heterozygous count = 40, Recessive count = 23
Generation 32: Dominant count = 32, Heterozygous count = 47, Recessive count = 21
Generation 33: Dominant count = 33, Heterozygous count = 39, Recessive count = 28
Generation 34: Dominant count = 31, Heterozygous count = 44, Recessive count = 25
Generation 35: Dominant count = 31, Heterozygous count = 44, Recessive count = 25
Generation 36: Dominant count = 36, Heterozygous count = 42, Recessive count = 22
Generation 37: Dominant count = 38, Heterozygous count = 34, Recessive count = 28
Generation 38: Dominant count = 30, Heterozygous count = 45, Recessive count = 25
Generation 39: Dominant count = 31, Heterozygous count = 47, Recessive count = 22
Generation 40: Dominant count = 32, Heterozygous count = 44, Recessive count = 24
Generation 41: Dominant count = 35, Heterozygous count = 40, Recessive count = 25
Generation 42: Dominant count = 33, Heterozygous count = 38, Recessive count = 29
Generation 43: Dominant count = 30, Heterozygous count = 42, Recessive count = 28
Generation 44: Dominant count = 28, Heterozygous count = 52, Recessive count = 20
Generation 45: Dominant count = 37, Heterozygous count = 38, Recessive count = 25
Generation 46: Dominant count = 27, Heterozygous count = 49, Recessive count = 24
Generation 47: Dominant count = 35, Heterozygous count = 45, Recessive count = 20
Generation 48: Dominant count = 25, Heterozygous count = 51, Recessive count = 24
Generation 49: Dominant count = 29, Heterozygous count = 49, Recessive count = 22
Generation 50: Dominant count = 29, Heterozygous count = 40, Recessive count = 31
Generation 51: Dominant count = 32, Heterozygous count = 37, Recessive count = 31
Generation 52: Dominant count = 22, Heterozygous count = 49, Recessive count = 29
Generation 53: Dominant count = 29, Heterozygous count = 46, Recessive count = 25
Generation 54: Dominant count = 33, Heterozygous count = 45, Recessive count = 22
Generation 55: Dominant count = 35, Heterozygous count = 43, Recessive count = 22
Generation 56: Dominant count = 28, Heterozygous count = 42, Recessive count = 30
Generation 57: Dominant count = 24, Heterozygous count = 41, Recessive count = 35
Generation 58: Dominant count = 34, Heterozygous count = 40, Recessive count = 26
Generation 59: Dominant count = 28, Heterozygous count = 46, Recessive count = 26
Generation 60: Dominant count = 33, Heterozygous count = 37, Recessive count = 30
Generation 61: Dominant count = 31, Heterozygous count = 35, Recessive count = 34
Generation 62: Dominant count = 30, Heterozygous count = 43, Recessive count = 27
Generation 63: Dominant count = 36, Heterozygous count = 38, Recessive count = 26
Generation 64: Dominant count = 40, Heterozygous count = 32, Recessive count = 28
Generation 65: Dominant count = 38, Heterozygous count = 44, Recessive count = 18
Generation 66: Dominant count = 37, Heterozygous count = 44, Recessive count = 19
Generation 67: Dominant count = 40, Heterozygous count = 37, Recessive count = 23
Generation 68: Dominant count = 32, Heterozygous count = 49, Recessive count = 19
Generation 69: Dominant count = 32, Heterozygous count = 46, Recessive count = 22
Generation 70: Dominant count = 34, Heterozygous count = 43, Recessive count = 23
Generation 71: Dominant count = 33, Heterozygous count = 42, Recessive count = 25
Generation 72: Dominant count = 36, Heterozygous count = 45, Recessive count = 19
Generation 73: Dominant count = 32, Heterozygous count = 43, Recessive count = 25
Generation 74: Dominant count = 27, Heterozygous count = 48, Recessive count = 25
Generation 75: Dominant count = 20, Heterozygous count = 48, Recessive count = 32
Generation 76: Dominant count = 28, Heterozygous count = 39, Recessive count = 33
Generation 77: Dominant count = 29, Heterozygous count = 36, Recessive count = 35
Generation 78: Dominant count = 27, Heterozygous count = 41, Recessive count = 32
Generation 79: Dominant count = 26, Heterozygous count = 38, Recessive count = 36
Generation 80: Dominant count = 24, Heterozygous count = 47, Recessive count = 29
Generation 81: Dominant count = 22, Heterozygous count = 52, Recessive count = 26
Generation 82: Dominant count = 27, Heterozygous count = 45, Recessive count = 28
Generation 83: Dominant count = 23, Heterozygous count = 49, Recessive count = 28
Generation 84: Dominant count = 28, Heterozygous count = 41, Recessive count = 31
Generation 85: Dominant count = 16, Heterozygous count = 59, Recessive count = 25
Generation 86: Dominant count = 26, Heterozygous count = 45, Recessive count = 29
Generation 87: Dominant count = 29, Heterozygous count = 45, Recessive count = 26
Generation 88: Dominant count = 29, Heterozygous count = 45, Recessive count = 26
Generation 89: Dominant count = 28, Heterozygous count = 43, Recessive count = 29
Generation 90: Dominant count = 28, Heterozygous count = 48, Recessive count = 24
Generation 91: Dominant count = 27, Heterozygous count = 52, Recessive count = 21
Generation 92: Dominant count = 29, Heterozygous count = 49, Recessive count = 22
Generation 93: Dominant count = 23, Heterozygous count = 48, Recessive count = 29
Generation 94: Dominant count = 20, Heterozygous count = 48, Recessive count = 32
Generation 95: Dominant count = 30, Heterozygous count = 32, Recessive count = 38
Generation 96: Dominant count = 24, Heterozygous count = 49, Recessive count = 27
Generation 97: Dominant count = 23, Heterozygous count = 46, Recessive count = 31
Generation 98: Dominant count = 29, Heterozygous count = 36, Recessive count = 35
Generation 99: Dominant count = 28, Heterozygous count = 43, Recessive count = 29
